1,見る,思う、関係を結ぶ、面倒を見る
2,見す,結婚させる
3,見ゆ,見える、思われる、見せる、結婚する
4,かいまみる（垣間見る）,のぞき見る
5,よばふ（呼ばふ）,呼び続ける、求婚する
6,好く,風流を好む
7,わたる（渡る）,通る、いらっしゃる、〜続ける、一面に
8,ありく（歩く）,出歩く、〜しまわる、〜続ける
9,おこなふ（行ふ）,仏道修行をする
10,なやむ（悩む）,病気になる
11,おこたる（怠る）,病気が治る
12,おくる（後る、遅る）,先立たれる
13,ながむ（眺む、詠む）,もの思いに沈む、口ずさむ
14,ときめく（時めく）,寵愛を受ける、栄える
15,かしづく,大切に育てる、大切に世話をする
16,めづ（愛づ）,愛する、感嘆する
17,おどろく（驚く）,目を覚ます、気づく
18,こうず（困ず）,疲れる
19,おぼゆ（覚ゆ）,思われる、思い出される、似る
20,聞こゆ,聞こえる、評判になる、分かる
21,まもる・まぼる（守る）,見つめる
22,たのむ（頼む）,あてにする、あてにされる
23,かづく（被く）,かぶる、いただく、与える
24,ののしる,大声で騒ぐ、評判になる、羽振りをきかす
25,やる（遣る）,送る、〜きれない
26,いらふ（答ふ）,答える
27,にほふ（匂ふ）,美しく映える
28,あきらむ（明らむ）,明らかにする
29,ねんず（念ず）,がまんする
30,まうく（設く）,用意する
31,ゐる（居る、率る）,座る、〜ている、連れる
32,具す,伴う、連れる、添える
33,経,たつ、通る
34,さる（避る、去る）,避ける、なる
35,ものす（物す）,する、いらっしゃる
36,ならふ（慣らふ、馴らふ）,慣れる、なじむ
37,しのぶ（忍ぶ、偲ぶ）,がまんする、人目につかないようにする、思い出す
38,わぶ（侘ぶ）,困る、嘆く、〜かねる
39,をかし,すばらしい、滑稽だ
40,よろし,悪くはない、普通だ
41,ありがたし,めったにない、すばらしい
42,つきづきし（付き付きし）,似つかわしい
43,なまめかし,上品だ、若々しい
44,めでたし,すばらしい
45,うるはし,きちんとしている、美しい
46,やむごとなし,高貴だ、並々でない
47,おとなし（大人し）,思慮分別がある、主だっている
48,ゆかし,見たい、聞きたい、知りたい、心ひかれる
49,なつかし,親しみ深い
50,はづかし（恥ずかし）,立派だ
51,こころにくし,奥ゆかしい
52,うつくし（美し）,かわいい
53,かなし,いとしい
54,らうたし,かわいい
55,めやすし（目安し）,感じがよい
56,あやし（怪し、賤し）,不思議だ、身分が低い、粗末だ
57,さうざうし,もの足りない
58,つれなし,平然としている、冷淡だ
59,なめし,無礼だ
60,おどろおどろし,大げさだ、気味が悪い
61,憂し,つらい、いやだ
62,むつかし,うっとうしい、気味が悪い
63,すさまじ,興ざめだ、殺風景だ
64,びんなし（便無し）,不都合だ、気の毒だ
65,いとほし,気の毒だ
66,いはけなし,子どもっぽい
67,つらし,薄情だ
68,ところせし（所狭し）,窮屈だ
69,うしろめたし,気がかりだ
70,かたはらいたし,きまり悪い、苦々しい、気の毒だ
71,わりなし,ひどい、どうしようもない、苦しい
72,本意なし,残念だ
73,あさまし,驚くほどだ、あきれるほどだ、情けない
74,めざまし,気にくわない、すばらしい
75,いみじ,すばらしい、ひどい、とても
76,ゆゆし,不吉だ、すばらしい、はなはだしく
77,やさし,優美だ、上品だ、殊勝だ
78,しるし（著し）,はっきりと分かる、〜のとおりに
79,とし（疾し）,早い
80,ゆくりなし,突然だ
81,おぼつかなし,はっきりしない、気がかりだ、待ち遠しい
82,心もとなし,かすかだ、不安だ、じれったい
83,あはれなり,心底しみじみと感じられる
84,つれづれなり（徒然なり）,退屈である、ものさびしい
85,すずろなり、そぞろなり（漫ろなり）,なんということ(わけ)もない、思いがけない、むやみやたらだ
86,まめなり、まめやかなり,まじめである、実用的である
87,あだなり（徒なり）,はかない、浮気だ
88,いたづらなり（徒らなり）,役に立たない、むなしい
89,優なり,優れている、優雅である
90,あてなり（貴なり）,高貴である、上品である
91,あからさまなり,ほんのちょっと
92,みそかなり（密かなり）,ひそかに
93,おろかなり（疎かなり）,いい加減だ、並ひととおりだ、言い尽くせない
94,をこなり,愚かだ、ばかばかしい
95,むげなり（無下なり）,ひどい、ひどく
96,なかなかなり,中途半端だ、かえってしないほうがよい、かえってしないほうがましだ
97,手,字、演奏法
98,文、書,手紙、漢詩
99,消息,手紙、訪問の申し入れ
100,あそび（遊び）,管弦の遊び
101,うへ（上）,帝、奥様
102,おほやけ（公）,朝廷、帝
103,うち（内裏・内）,宮中、帝
104,御前,お側
105,みゆき（行幸・御幸）,お出まし
106,たより（頼り・便り）,よりどころ、つて、よい機会
107,物語,世間話
108,ためし（例）,先例
109,いそぎ（急ぎ）,準備
110,用意,気配り
111,かたち（形・容貌）,容貌
112,かげ（影、陰）,光、姿
113,けしき（気色）,様子、機嫌、意向
114,こころざし（心ざし・志）,愛情、お礼の贈り物
115,本意,かねてからの願い
116,こと（言）,言葉、和歌
117,わざ（業）,こと（事）、葬儀
118,よろづ（万）,さまざま、何ごとにつけても
119,ことわり（理）,道理
120,ひがこと・ひがごと（僻事）,間違い
121,そらごと（空言・虚言）,嘘
122,しるし（験・徴）,効き目、ご利益、きざし
123,料,ため
124,禄,ほうび
125,としごろ（年頃、年比、年来）,長年
126,つとめて,早朝、翌朝
127,世・世の中,男女の仲、夫婦の仲
128,いかで・いかでか,どうして、どうして、なんとかしてくださいよ
129,いかが・いかに,どのように、どうして、どうして、どんなにか
130,など・などか・などて・なじかは,どうして
131,いつしか,いつの間にか、早く
132,おのづから（自ら）,たまたま、もしかして
133,なほ（猶）,なんといってもやはり、それでもやはり
134,いとど,ますます
135,げに（実に）,本当に
136,かく,このように
137,さ,そのように
138,しか,そのように
139,と,あのように
140,やがて,そのまま、すぐに
141,すなはち,すぐに
142,やうやう,しだいに
143,やをら・やはら,そっと
144,なかなか（に）,かえって
145,さすがに,そうはいってもやはり、なんといってもやはり
146,かたみに（互に）,互いに
147,うたて,いやな感じに、異様に怪しく
148,なべて,一般に、並ひととおり
149,わざと,わざわざ、特に、正式な
150,あまた（数多）,たくさん
151,ここら・そこら,たくさん、たいそう
152,え（〜打消）,ことができない
153,な〜そ,な、てはならない
154,おほかた（大方）（〜打消）,まったく
155,さらに（更に）（〜打消）,まったく
156,世に（〜打消）,まったく、実に
157,たえて（絶えて）（〜打消）,まったく
158,つゆ（〜打消）,少しも
159,ゆめ・ゆめゆめ（〜打消・禁止）,決して、決して
160,つやつや（～打消）,まったく
161,をさをさ（～打消）,ほとんど
162,よも（〜打消推量）,まさか
163,あなかしこ（〜禁止）,決して
164,ためらふ,気持ちを静める
165,やすらふ（休らふ）,ためらう、立ち止まる
166,かたらふ（語らふ）,語り合う、親しく交際する、契る、説得する
167,住む,通う
168,やむ（止む）,終わる
169,うつろふ（移ろふ）,色あせる
170,見出だす,外を見る
171,もてなす,振る舞う
172,あつかふ,面倒を見る、もてあます
173,あくがる,さまよい出る、浮かれ歩く
174,あふ（合ふ・会ふ・逢ふ、敢ふ）,結婚する、耐えられない、〜きれない
175,しほたる（潮垂る）,涙を流す
176,かきくらす（搔き暗す）,空を暗くする、悲しみにくれる
177,まどふ（惑ふ）,迷う、ひどく
178,たばかる（謀る）,工夫する、だます
179,すさぶ（荒ぶ・進ぶ・遊ぶ）,興じる、気の向くままにする
180,すまふ（争ふ・辞ふ）,抵抗する、断る
181,まねぶ（学ぶ）,まねる、伝える
182,ねぶ,年をとる、大人びる
183,おきつ（掟つ）,決めておく、指図する
184,うれふ（愁ふ）,訴える
185,むすぶ（結ぶ、掬ぶ）,できる、すくう
186,とぶらふ（訪ふ、弔ふ）,訪ねる、見舞う、弔う
187,やつす,質素にする、出家する
188,さはる（障る）,差し支える、妨げられる
189,かしこまる（畏まる）,恐縮する、恐縮して正座する
190,かこつ（託つ）,嘆く
191,わく（分く）,理解する
192,つつむ（慎む）,遠慮する
193,あらまほし,望ましい
194,らうらうじ（労労じ）,巧みだ、上品だ
195,うるせし,賢い、巧みだ
196,はかばかし,しっかりしている、はっきりしている
197,をさをさし（長長し）,しっかりしている
198,さうなし（双無し）,比べるものがない
199,くまなし（隈無し）,陰がない、なんでも知っている
200,ずちなし（術無し）,どうしようもない
201,さがなし,意地が悪い、いたずらだ
202,あいなし,つまらない、なんとなく
203,まさなし,よくない
204,はかなし,頼りない、ちょっとしたことだ
205,こころづきなし,気にくわない
206,あへなし（敢へ無し）,落胆している、はかない
207,おほけなし,身のほど知らずだ
208,よしなし（由無し）,つまらない、関係がない
209,はしたなし,きまり悪い、そっけない、激しい
210,しどけなし,怠慢だ、気楽だ
211,いぎたなし,寝坊だ
212,ひとわろし（人悪し）,みっともない
213,いぶせし,うっとうしい、気がかりだ
214,くちをし（口惜し）,残念だ
215,あたらし（惜し）,惜しい
216,ねたし（妬し）,くやしい
217,こちたし,うるさい、大げさだ、はなはだしい
218,けし（怪し・異し）,異様だ
219,わびし（侘びし）,苦しい
220,こころぐるし（心苦し）,気の毒だ、気がかりだ
221,まだし（未し）,まだ早い
222,さかし（賢し）,優れている、しっかりしている、こざかしい
223,まばゆし,まぶしい、美しい、恥ずかしい、見ていられない
224,かたじけなし（忝し）,おそれ多い、おそれ多い、面目ない
225,かしこし（畏し・賢し）,おそれ多い、優れている、うまい具合に
226,しげし（繁し・茂し）,多い
227,すごし（凄し）,君が悪い、さびしい、すばらしい
228,いたし,すばらしい、ひどい、はなはだしく、それほど
229,おぼろけなり,並ひととおりだ、並ひととおりではない
230,なのめなり（斜めなり）,並ひととおりだ、いい加減、並ひととおりではない
231,清らなり・けうらなり,清らかで美しい
232,まほなり,完全である
233,うちつけなり,にわかだ、軽率だ
234,あらはなり（顕なり）,まる見えである
235,あながちなり（強ちなり）,強引だ、むやみに
236,せちなり（切なり）,切実である、大切である
237,とみなり（頓なり）,急だ
238,さらなり（更なり）,言うまでもない
239,ねんごろなり・ねむごろなり,心を込めている、親密だ
240,おいらかなり,おっとりしている
241,あやにくなり,意地が悪い、あいにくだ
242,おぼえ（覚え）,評判、寵愛
243,ひま（隙・暇）,すき間、合間
244,いとま（暇）,暇、休むこと
245,才,教養、才能
246,よろこび（喜び）,お礼
247,こころばへ（心ばへ）,気だて、心づかい、趣
248,こころずくし（心尽くし）,もの思いをすること
249,そこ,あなた
250,ここ,このわたし
251,かれ,あの人
252,それ,その人、あなた
253,これ,このわたし
254,あなた,向こう
255,そなた,あなた
256,こなた,このわたし
257,そのかみ,その当時
258,せうと（兄人）,兄
259,おとうと・おとと（弟）,妹
260,いも（妹）,いとしいあなた
261,つま（夫・妻）,夫
262,はらから（同胞）,兄弟
263,かたへ（片方）,半分、傍ら、仲間
264,ほど（程）,ころ、広さ、身分、様子
265,かぎり（限り）,限界、極致、臨終、すべて
266,きは（際）,身分
267,ついで（序）,序列、機会
268,沙汰,評議、裁き、命令、噂
269,とが（咎・科）,欠点、罪
270,け（故）,ため
271,よし（由）,風情、由緒、手立て、こと
272,やう（様）,様子、理由、方法、〜ことには
273,ちぎり（契り）,約束、宿縁
274,ほだし（絆）,障害となるもの
275,あやめ（文目）,道理
276,うつつ（現）,現実、正気
277,あるじ（主、饗）,もてなし
278,ふるさと（古里・故郷）,なじみの土地、わが家
279,さて（然て）,そのまま、そのほか
280,さながら（然ながら）,そのまま、すべて
281,いま（今）,すぐに、もう
282,せめて,強いて、ひどく
283,むべ・うべ,なるほど
284,かつ,一方では、すぐに
285,ひねもす（終日）,一日中
286,かまへて（〜打消・禁止）,決して、なんとかして
287,あへて（敢へて）（〜打消）,まったく
288,かけて(も)（〜打消）,まったく、決して
289,さだめて（定めて）（〜推量）,きっと
290,のたまふ・のたまはす,おっしゃる
291,仰す,おっしゃる
292,聞こゆ・聞こえさす,申し上げる、(お)〜申し上げる
293,申す,申し上げる、(お)〜申し上げる
294,奏す,奏上する（帝・院に申し上げる）
295,啓す,啓上する（中宮・東宮に申し上げる）
296,承る,お受けする、お聞きする
297,給ふ,お与えになる、〜なさる、〜(ており)ます
298,たまはす（給はす・賜はす）,お与えになる
299,たまはる（賜はる・給はる）,いただく
300,召す,お呼びになる、お取り寄せになる、お召しになる
301,思す・思し召す,お思いになる
302,おほとのごもる（大殿籠る）,おやすみになる
303,さぶらふ・さうらふ（候ふ）,お仕え申し上げる、あります、〜(でござい)ます
304,はべり（侍り）,お仕え申し上げる、あります、〜(でござい)ます
305,奉る,差し上げる、(お)〜申し上げる、お召しになる、召し上がる、お乗りになる
306,参らす,差し上げる、(お)〜申し上げる
307,まゐる（参る）・まうづ（詣づ）,参上する、差し上げる、召し上がる
308,まかる・まかづ,退出する
309,あそばす（遊ばす）,なさる
310,つか(う)まつる（仕(う)まつる）,お仕え申し上げる、し申し上げる、(お)〜申し上げる
311,聞こし召す,お聞きになる、召し上がる
312,しろしめす,知っていらっしゃる、お治めになる
313,おはす・おはします,いらっしゃる、〜(て)いらっしゃる
314,います・ます・まします・いますかり,いらっしゃる、〜(て)いらっしゃる
315,御覧ず,御覧になる